UTC, LocalTime, spectrum, JulianDate, UTtimeh, gndP, gndT, latdeg, londeg, altim, appSZA, azimuth, XH2O, XAIR, XCO2, XCH4, XCO, XCH4_S5P, H2O, O2, CO2, CH4, CO, CH4_S5P
2017-06-08 05:46:19, 2017-06-08 08:46:19, 170608_054549SN.BIN, 2457912.74050,    5.8, 998.86, 292.02, 67.36600, 26.63000, 181.000, 59.99, -77.41, 1.89954e+03, 1.00097e+00, 4.06048e+02, 1.80918e+00, 8.45575e-02, 1.81026e+00, 4.01468e+26, 4.46554e+28, 8.59740e+25, 3.86691e+23, 1.78681e+22, 3.84355e+23
2017-06-08 06:39:31, 2017-06-08 09:39:31, 170608_063902SN.BIN, 2457912.77745,    6.7, 998.72, 292.02, 67.36600, 26.63000, 181.000, 55.17, -64.06, 1.92603e+03, 1.00061e+00, 4.06153e+02, 1.81018e+00, 8.40271e-02, 1.81179e+00, 4.06856e+26, 4.46119e+28, 8.59572e+25, 3.86790e+23, 1.78181e+22, 3.84475e+23
2017-06-08 07:33:02, 2017-06-08 10:33:02, 170608_073232SN.BIN, 2457912.81461,    7.6, 998.72, 292.02, 67.36600, 26.63000, 181.000, 50.87, -49.59, 1.87640e+03, 1.00084e+00, 4.05953e+02, 1.80811e+00, 8.36081e-02, 1.80927e+00, 3.96476e+26, 4.46100e+28, 8.59341e+25, 3.86483e+23, 1.77831e+22, 3.84017e+23
2017-06-08 08:26:38, 2017-06-08 11:26:38, 170608_082609SN.BIN, 2457912.85184,    8.4, 998.62, 292.02, 67.36600, 26.63000, 181.000, 47.44, -33.89, 1.86460e+03, 1.00100e+00, 4.05912e+02, 1.80860e+00, 8.36956e-02, 1.80982e+00, 3.94010e+26, 4.46045e+28, 8.59310e+25, 3.86640e+23, 1.78344e+22, 3.84149e+23
2017-06-08 09:20:22, 2017-06-08 12:20:22, 170608_091953SN.BIN, 2457912.88915,    9.3, 998.42, 292.02, 67.36600, 26.63000, 181.000, 45.22, -17.04, 1.90623e+03, 1.00058e+00, 4.05871e+02, 1.80916e+00, 8.44626e-02, 1.81163e+00, 4.02546e+26, 4.45709e+28, 8.58713e+25, 3.86535e+23, 1.80037e+22, 3.84291e+23
2017-06-08 10:14:07, 2017-06-08 13:14:07, 170608_101338SN.BIN, 2457912.92648,   10.2, 997.88, 292.02, 67.36600, 26.63000, 181.000, 44.47,  0.50, 1.86840e+03, 1.00070e+00, 4.06023e+02, 1.81465e+00, 8.60819e-02, 1.81722e+00, 3.94400e+26, 4.45519e+28, 8.58657e+25, 3.87549e+23, 1.83468e+22, 3.85314e+23
2017-06-08 11:07:59, 2017-06-08 14:07:59, 170608_110729SN.BIN, 2457912.96388,   11.1, 997.52, 292.02, 67.36600, 26.63000, 181.000, 45.30, 18.06, 1.93767e+03, 9.99964e-01, 4.05892e+02, 1.81830e+00, 8.64102e-02, 1.82192e+00, 4.08557e+26, 4.45027e+28, 8.57469e+25, 3.87900e+23, 1.83901e+22, 3.85890e+23
2017-06-08 12:01:54, 2017-06-08 15:01:54, 170608_120126SN.BIN, 2457913.00133,   12.0, 997.22, 292.02, 67.36600, 26.63000, 181.000, 47.61, 34.92, 2.11923e+03, 9.99530e-01, 4.05944e+02, 1.81692e+00, 8.70015e-02, 1.82185e+00, 4.46459e+26, 4.44698e+28, 8.57027e+25, 3.87313e+23, 1.84827e+22, 3.85604e+23
2017-06-08 12:55:28, 2017-06-08 15:55:28, 170608_125459SN.BIN, 2457913.03853,   12.9, 997.02, 292.02, 67.36600, 26.63000, 181.000, 51.10, 50.53, 2.32763e+03, 9.99806e-01, 4.05661e+02, 1.81693e+00, 8.90777e-02, 1.82320e+00, 4.90337e+26, 4.44761e+28, 8.56579e+25, 3.87323e+23, 1.88895e+22, 3.85934e+23
2017-06-08 13:49:29, 2017-06-08 16:49:29, 170608_134900SN.BIN, 2457913.07604,   13.8, 996.83, 292.02, 67.36600, 26.63000, 181.000, 55.48, 65.07, 2.27439e+03, 9.99968e-01, 4.05598e+02, 1.81436e+00, 8.83072e-02, 1.82165e+00, 4.79123e+26, 4.44905e+28, 8.56379e+25, 3.86711e+23, 1.86720e+22, 3.85603e+23
2017-06-08 14:43:37, 2017-06-08 17:43:37, 170608_144308SN.BIN, 2457913.11363,   14.7, 996.62, 292.02, 67.36600, 26.63000, 181.000, 60.41, 78.58, 2.29060e+03, 9.99710e-01, 4.05492e+02, 1.81301e+00, 8.71757e-02, 1.82053e+00, 4.82308e+26, 4.44904e+28, 8.55732e+25, 3.86159e+23, 1.83473e+22, 3.85199e+23
2017-06-08 15:37:48, 2017-06-08 18:37:48, 170608_153719SN.BIN, 2457913.15125,   15.6, 996.32, 292.02, 67.36600, 26.63000, 181.000, 65.58, 91.32, 2.19256e+03, 9.99130e-01, 4.05721e+02, 1.81310e+00, 8.53032e-02, 1.82095e+00, 4.61285e+26, 4.44849e+28, 8.55367e+25, 3.85698e+23, 1.78373e+22, 3.84956e+23
2017-06-08 16:32:02, 2017-06-08 19:32:02, 170608_163133SN.BIN, 2457913.18892,   16.5, 996.12, 292.02, 67.36600, 26.63000, 181.000, 70.73, 103.58, 2.16928e+03, 9.99966e-01, 4.05804e+02, 1.81302e+00, 8.45598e-02, 1.82237e+00, 4.56685e+26, 4.45578e+28, 8.55984e+25, 3.85691e+23, 1.75672e+22, 3.85498e+23
2017-06-08 17:26:19, 2017-06-08 20:26:19, 170608_172551SN.BIN, 2457913.22662,   17.4, 995.92, 292.02, 67.36600, 26.63000, 181.000, 75.63, 115.59, 2.19353e+03, 9.99046e-01, 4.05957e+02, 1.81389e+00, 8.44913e-02, 1.82582e+00, 4.61264e+26, 4.45684e+28, 8.55201e+25, 3.85057e+23, 1.73846e+22, 3.85767e+23
2017-06-09 05:42:49, 2017-06-09 08:42:49, 170609_054220SN.BIN, 2457913.73807,    5.7, 996.62, 293.54, 67.36600, 26.63000, 181.000, 60.26, -78.34, 2.73002e+03, 1.00067e+00, 4.05110e+02, 1.81501e+00, 8.50558e-02, 1.81495e+00, 5.75224e+26, 4.45201e+28, 8.55945e+25, 3.86975e+23, 1.79183e+22, 3.84403e+23
2017-06-09 06:36:06, 2017-06-09 09:36:06, 170609_063537SN.BIN, 2457913.77507,    6.6, 996.62, 293.54, 67.36600, 26.63000, 181.000, 55.41, -65.04, 2.76128e+03, 1.00013e+00, 4.05099e+02, 1.81492e+00, 8.52962e-02, 1.81471e+00, 5.81487e+26, 4.44745e+28, 8.55503e+25, 3.86831e+23, 1.80326e+22, 3.84133e+23
2017-06-09 07:29:41, 2017-06-09 10:29:41, 170609_072912SN.BIN, 2457913.81229,    7.5, 996.32, 293.54, 67.36600, 26.63000, 181.000, 51.05, -50.62, 2.85380e+03, 1.00041e+00, 4.04965e+02, 1.81572e+00, 8.56207e-02, 1.81517e+00, 6.00924e+26, 4.44570e+28, 8.55262e+25, 3.87047e+23, 1.81520e+22, 3.84216e+23
2017-06-09 08:23:20, 2017-06-09 11:23:20, 170609_082251SN.BIN, 2457913.84954,    8.4, 996.12, 293.54, 67.36600, 26.63000, 181.000, 47.55, -34.98, 2.93657e+03, 1.00009e+00, 4.05058e+02, 1.81560e+00, 8.52767e-02, 1.81573e+00, 6.18001e+26, 4.44230e+28, 8.55063e+25, 3.86853e+23, 1.81022e+22, 3.84131e+23
2017-06-09 09:17:04, 2017-06-09 12:17:04, 170609_091635SN.BIN, 2457913.88686,    9.3, 995.82, 293.54, 67.36600, 26.63000, 181.000, 45.24, -18.18, 2.89669e+03, 1.00009e+00, 4.05011e+02, 1.81688e+00, 8.55363e-02, 1.81747e+00, 6.09437e+26, 4.44058e+28, 8.54690e+25, 3.87023e+23, 1.81703e+22, 3.84377e+23
2017-06-09 10:10:53, 2017-06-09 13:10:53, 170609_101024SN.BIN, 2457913.92423,   10.2, 995.52, 293.54, 67.36600, 26.63000, 181.000, 44.39, -0.62, 2.82908e+03, 9.99956e-01, 4.05109e+02, 1.81641e+00, 8.55870e-02, 1.81781e+00, 5.94977e+26, 4.43867e+28, 8.54493e+25, 3.86755e+23, 1.81795e+22, 3.84275e+23
2017-06-09 11:04:44, 2017-06-09 14:04:44, 170609_110415SN.BIN, 2457913.96163,   11.1, 995.18, 293.54, 67.36600, 26.63000, 181.000, 45.12, 16.98, 2.89054e+03, 9.99889e-01, 4.05037e+02, 1.81655e+00, 8.59146e-02, 1.81807e+00, 6.07632e+26, 4.43683e+28, 8.54021e+25, 3.86626e+23, 1.82361e+22, 3.84179e+23
2017-06-09 11:58:08, 2017-06-09 14:58:08, 170609_115739SN.BIN, 2457913.99871,   12.0, 994.88, 293.54, 67.36600, 26.63000, 181.000, 47.32, 33.74, 2.89129e+03, 9.99820e-01, 4.05014e+02, 1.81597e+00, 8.56081e-02, 1.81857e+00, 6.07567e+26, 4.43564e+28, 8.53655e+25, 3.86346e+23, 1.81473e+22, 3.84146e+23
2017-06-09 12:52:21, 2017-06-09 15:52:21, 170609_125151SN.BIN, 2457914.03636,   12.9, 994.72, 293.54, 67.36600, 26.63000, 181.000, 50.78, 49.63, 2.97391e+03, 9.99520e-01, 4.05011e+02, 1.81750e+00, 8.51984e-02, 1.82044e+00, 6.24606e+26, 4.43421e+28, 8.53281e+25, 3.86466e+23, 1.80196e+22, 3.84374e+23
2017-06-09 15:34:42, 2017-06-09 18:34:42, 170609_153413SN.BIN, 2457914.14910,   15.6, 993.82, 293.54, 67.36600, 26.63000, 181.000, 65.19, 90.60, 2.93155e+03, 9.99204e-01, 4.04933e+02, 1.81855e+00, 8.49058e-02, 1.82340e+00, 6.14976e+26, 4.43534e+28, 8.51962e+25, 3.85955e+23, 1.77151e+22, 3.84562e+23
