UTC, LocalTime, spectrum, JulianDate, UTtimeh, gndP, gndT, latdeg, londeg, altim, appSZA, azimuth, XH2O, XAIR, XCO2, XCH4, XCO2_STR, XCO, XCH4_S5P, H2O, O2, CO2, CH4, CO, CH4_S5P
2017-06-08 05:46:19, 2017-06-08 08:46:19, 170608_054549SN.BIN, 2457912.74050,    5.8, 998.86, 292.02, 67.36600, 26.63000, 181.000, 59.99, -77.41, 1.90498e+03, 1.00069e+00, 4.06021e+02, 1.80941e+00, 4.05778e+02, 8.45705e-02, 1.81038e+00, 4.02502e+26, 4.46561e+28, 8.59871e+25, 3.86630e+23, 1.78711e+22, 3.84349e+23
2017-06-08 06:39:31, 2017-06-08 09:39:31, 170608_063902SN.BIN, 2457912.77745,    6.7, 998.72, 292.02, 67.36600, 26.63000, 181.000, 55.17, -64.06, 1.93177e+03, 1.00034e+00, 4.06115e+02, 1.81037e+00, 4.05879e+02, 8.40377e-02, 1.81188e+00, 4.07958e+26, 4.46134e+28, 8.59695e+25, 3.86731e+23, 1.78210e+22, 3.84470e+23
2017-06-08 07:33:02, 2017-06-08 10:33:02, 170608_073232SN.BIN, 2457912.81461,    7.6, 998.72, 292.02, 67.36600, 26.63000, 181.000, 50.87, -49.59, 1.88224e+03, 1.00059e+00, 4.05904e+02, 1.80827e+00, 4.05865e+02, 8.36168e-02, 1.80934e+00, 3.97609e+26, 4.46122e+28, 8.59457e+25, 3.86426e+23, 1.77860e+22, 3.84012e+23
2017-06-08 08:26:38, 2017-06-08 11:26:38, 170608_082609SN.BIN, 2457912.85184,    8.4, 998.62, 292.02, 67.36600, 26.63000, 181.000, 47.44, -33.89, 1.87057e+03, 1.00077e+00, 4.05855e+02, 1.80875e+00, 4.05908e+02, 8.37031e-02, 1.80986e+00, 3.95175e+26, 4.46072e+28, 8.59420e+25, 3.86583e+23, 1.78372e+22, 3.84145e+23
2017-06-08 09:20:22, 2017-06-08 12:20:22, 170608_091953SN.BIN, 2457912.88915,    9.3, 998.42, 292.02, 67.36600, 26.63000, 181.000, 45.22, -17.04, 1.91236e+03, 1.00035e+00, 4.05809e+02, 1.80929e+00, 4.05905e+02, 8.44691e-02, 1.81166e+00, 4.03747e+26, 4.45741e+28, 8.58819e+25, 3.86479e+23, 1.80065e+22, 3.84287e+23
2017-06-08 10:14:07, 2017-06-08 13:14:07, 170608_101338SN.BIN, 2457912.92648,   10.2, 997.88, 292.02, 67.36600, 26.63000, 181.000, 44.47,  0.50, 1.87449e+03, 1.00048e+00, 4.05959e+02, 1.81478e+00, 4.06353e+02, 8.60881e-02, 1.81725e+00, 3.95594e+26, 4.45552e+28, 8.58762e+25, 3.87492e+23, 1.83495e+22, 3.85310e+23
2017-06-08 11:07:59, 2017-06-08 14:07:59, 170608_110729SN.BIN, 2457912.96388,   11.1, 997.52, 292.02, 67.36600, 26.63000, 181.000, 45.30, 18.06, 1.94387e+03, 9.99734e-01, 4.05830e+02, 1.81843e+00, 4.06439e+02, 8.64168e-02, 1.82196e+00, 4.09767e+26, 4.45057e+28, 8.57574e+25, 3.87843e+23, 1.83929e+22, 3.85886e+23
2017-06-08 12:01:54, 2017-06-08 15:01:54, 170608_120126SN.BIN, 2457913.00133,   12.0, 997.22, 292.02, 67.36600, 26.63000, 181.000, 47.61, 34.92, 2.12566e+03, 9.99292e-01, 4.05887e+02, 1.81707e+00, 4.06709e+02, 8.70089e-02, 1.82190e+00, 4.47707e+26, 4.44725e+28, 8.57134e+25, 3.87256e+23, 1.84855e+22, 3.85599e+23
2017-06-08 12:55:28, 2017-06-08 15:55:28, 170608_125459SN.BIN, 2457913.03853,   12.9, 997.02, 292.02, 67.36600, 26.63000, 181.000, 51.10, 50.53, 2.33428e+03, 9.99556e-01, 4.05612e+02, 1.81710e+00, 4.06460e+02, 8.90864e-02, 1.82327e+00, 4.91612e+26, 4.44783e+28, 8.56691e+25, 3.87265e+23, 1.88923e+22, 3.85929e+23
2017-06-08 13:49:29, 2017-06-08 16:49:29, 170608_134900SN.BIN, 2457913.07604,   13.8, 996.83, 292.02, 67.36600, 26.63000, 181.000, 55.48, 65.07, 2.28073e+03, 9.99708e-01, 4.05558e+02, 1.81455e+00, 4.06599e+02, 8.83177e-02, 1.82174e+00, 4.80330e+26, 4.44919e+28, 8.56499e+25, 3.86652e+23, 1.86749e+22, 3.85598e+23
