Instrument,  Channel1ME, Channel1PE,  Channel2ME, Channel2PE, ValidSince
SN029,       0.986200,   +0.001400,   0.986200,   +0.001400,  2017-11-21
SN032,       0.986200,   +0.003400,   0.986200,   +0.003400,  2014-07-15
SN033,       0.981400,   -0.001700,   0.981400,   -0.001700,  2017-08-08
SN037,       0.986200,   +0.001900,   0.986200,   +0.001900,  2014-07-15
SN038,       0.978400,   +0.000900,   0.978400,   +0.000900,  2014-07-15
SN039,       0.981100,   -0.000500,   0.981100,   -0.000500,  2014-07-15
SN041,       0.983500,   +0.000100,   0.983500,   +0.000100,  2014-07-15
SN042,       0.975200,   +0.003900,   0.975200,   +0.003900,  2016-07-28
SN044,       0.971400,   -0.001900,   0.971400,   -0.001900,  2017-02-24
SN045,       0.984500,   +0.003400,   0.984500,   +0.003400,  2017-02-25
SN046,       0.983700,   +0.002400,   0.983700,   +0.002400,  2017-07-25
SN050,       0.983900,   +0.002300,   0.983900,   +0.002300,  2017-03-17
SN051,       0.984700,   +0.001700,   0.984700,   +0.001700,  2014-12-04
SN052,       0.985400,   +0.004800,   0.985400,   +0.004800,  2017-03-17
SN053,       0.983000,   +0.002500,   0.983000,   +0.002500,  2017-03-17
SN059,       0.988600,   +0.002900,   0.988600,   +0.002900,  2017-06-30
SN061,       0.983000,   +0.001300,   0.983000,   +0.001300,  2017-07-14
SN062,       0.982300,   +0.005300,   0.982300,   +0.005300,  2016-01-21
SN063,       0.985300,   +0.001100,   0.985300,   +0.001100,  2016-01-21
SN065,       0.988100,   +0.002400,   0.988100,   +0.002400,  2016-05-10
SN069,       0.986300,   +0.003000,   0.986300,   +0.003000,  2017-07-10
SN070,       0.977500,   +0.005600,   0.977500,   +0.005600,  2016-08-02
SN072,       0.995900,   +0.003000,   0.995900,   +0.003000,  2017-02-08
SN075,       0.997200,   +0.004100,   0.997200,   +0.004100,  2017-05-15
SN076,       1.016000,   +0.000700,   1.016000,   +0.000700,  2017-06-09
SN077,       0.985500,   +0.001600,   0.985500,   +0.001600,  2017-09-26
SN080,       0.985700,   -0.000700,   0.985700,   -0.000700,  2018-04-17
SN081,       0.982300,   +0.001900,   0.982300,   +0.001900,  2018-07-16
SN082,       0.984100,   +0.004600,   0.984100,   +0.004600,  2018-07-16
SN083,       0.985300,   +0.007000,   0.985300,   +0.007000,  2018-05-02
SN084,       0.986200,   +0.001000,   0.986200,   +0.001000,  2018-03-27
SN085,       0.987600,   +0.002500,   0.987600,   +0.002500,  2017-12-19
SN086,       0.983000,   +0.003100,   0.983000,   +0.003100,  2018-01-10
SN088,       0.983200,   +0.000700,   0.983200,   +0.000700,  2018-03-05
SN091,       0.983600,   +0.002100,   0.983600,   +0.002100,  2018-02-26
SN092,       0.980600,   +0.004200,   0.980600,   +0.004200,  2018-05-15
SN094,       0.979200,   +0.002600,   0.979200,   +0.002600,  2018-06-18
SN095,       0.980500,   +0.001600,   0.980500,   +0.001600,  2018-06-19
SN096,       0.985000,   +0.002800,   0.985000,   +0.002800,  2018-11-09
SN097,       0.985200,   -0.000600,   0.985200,   -0.000600,  2018-11-09
SN098,       0.990100,   +0.005400,   0.990100,   +0.005400,  2018-11-09
SN099,       0.979500,   +0.005300,   0.979500,   +0.005300,  2018-11-06
SN103,       0.983500,   +0.004200,   0.983500,   +0.004200,  2019-02-04
SN104,       0.981900,   +0.003800,   0.981900,   +0.003800,  2019-02-04
SN106,       0.980500,   +0.002000,   0.980500,   +0.002000,  2019-03-25
SN109,       0.983500,   +0.003400,   0.983500,   +0.003400,  2019-03-25
SN110,       0.985400,   +0.006700,   0.985400,   +0.006700,  2019-03-26
SN111,       0.986300,   +0.000700,   0.986300,   +0.000700,  2019-02-11
SN112,       0.986100,   -0.000900,   0.986100,   -0.000900,  2019-07-09
SN113,       0.986300,   +0.004200,   0.986300,   +0.004200,  2019-07-15
SN114,       0.985200,   +0.004100,   0.985200,   +0.004100,  2019-07-25
SN115,       0.983700,   +0.002400,   0.983700,   +0.002400,  2019-07-24
SN116,       0.987500,   +0.004400,   0.987500,   +0.004400,  2019-09-30
SN117,       0.979100,   +0.003800,   0.979100,   +0.003800,  2019-10-22
SN118,       0.986100,   +0.007100,   0.986100,   +0.007100,  2019-11-11
